Station,Name,MDMSName
A4260510,Lock 6 US,LK7DS_620km
A4260512,Lock 5 US,LK6DS_563km
A4260514,Lock 4 US,LK5DS_516km
A4260516,Lock 3 US,LK4DS_431km
A4260518,Lock 2 US,LK3DS_361km
A4260902,Lock 1 US,LK2DS_274km
A4260663,Lyrup Pump Station,LK5DS_537km
A4260537,Berri Irrigation Pump Station,LK5DS_526km
A4261065,Solara Pumping Station,L4DS_505km
A4260550,Loxton Irrigation Pump Station,L4DS_494km
A4260528,Overland Corner,LK3DS_417km
A4261110,River Murray DS Morgan,LK2DS_316km
A4261164,Swan Reach (3km DS ferry),LK1DS_254km
A4261163,Walker Flat,LK1DS_207km
A4261161,Mannum Town Warf,LK1DS_150km
A4261162,River Murray at Murray Bridge,LK1DS_ 112km
A4261159,Ruver Murray 2km DS Wellington Ferry,LK1DS_73km
